practitioner_id,npi,first_name,last_name,practice_affiliation,specialty,sub_specialty,data_source,META_data_source,META_Load_DTTM
PR00063,1000000063,Ava,Rodriguez,Regional Health System,Cardiology,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00064,1000000064,Mia,Lee,Community Medical Center,Urgent Care,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00065,1000000065,Jackson,Anderson,Solo Practice,Dermatology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00066,1000000066,Grace,Garcia,Solo Practice,Dermatology,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00067,1000000067,Emma,Young,StatCare Network,Dermatology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00068,1000000068,Mason,Ramirez,ValuMed Group,Internal Medicine,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00069,1000000069,Ella,Thomas,ValuMed Group,Obstetrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00070,1000000070,Daniel,Harris,Solo Practice,Dermatology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00071,1000000071,Mason,Miller,Regional Health System,Internal Medicine,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00072,1000000072,Grace,Hernandez,Solo Practice,Pediatrics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00073,1000000073,Ethan,Clark,Solo Practice,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00074,1000000074,Harper,Lewis,Regional Health System,Psychiatry,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00075,1000000075,Mason,Anderson,ValuMed Group,Psychiatry,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00076,1000000076,Noah,Rodriguez,StatCare Network,Obstetrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00077,1000000077,Jacob,Nguyen,Regional Health System,Obstetrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00078,1000000078,Jackson,Anderson,Regional Health System,Cardiology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00079,1000000079,Oliver,Wilson,Community Medical Center,Obstetrics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00080,1000000080,Elizabeth,Flores,Regional Health System,Family Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00081,1000000081,Logan,Thompson,StatCare Network,Urgent Care,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00082,1000000082,Harper,King,StatCare Network,Psychiatry,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00083,1000000083,Emma,Walker,Community Medical Center,Family Medicine,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00084,1000000084,Benjamin,Harris,Solo Practice,Family Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00085,1000000085,Logan,Thomas,Solo Practice,Cardiology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00086,1000000086,Henry,White,Solo Practice,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00087,1000000087,Abigail,Lopez,Solo Practice,Cardiology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00088,1000000088,Elizabeth,King,Solo Practice,Psychiatry,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00089,1000000089,Jackson,King,ValuMed Group,Dermatology,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00090,1000000090,Isabella,Garcia,Solo Practice,Urgent Care,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00091,1000000091,Sebastian,Nguyen,Community Medical Center,Neurology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00092,1000000092,Scarlett,Moore,Community Medical Center,Internal Medicine,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00093,1000000093,Ava,Torres,Solo Practice,Internal Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00094,1000000094,Elijah,Thomas,Community Medical Center,Dermatology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00095,1000000095,Abigail,Sanchez,ValuMed Group,Family Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00096,1000000096,Benjamin,Sanchez,Community Medical Center,Orthopedics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00097,1000000097,Daniel,Nguyen,StatCare Network,Family Medicine,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00098,1000000098,Emma,Lee,Regional Health System,Psychiatry,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00099,1000000099,Harper,Perez,ValuMed Group,Cardiology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00100,1000000100,Lucas,Lopez,StatCare Network,Neurology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00101,1000000101,Noah,Hill,Community Medical Center,Cardiology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00102,1000000102,Avery,Clark,StatCare Network,Pediatrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00103,1000000103,Amelia,Davis,Solo Practice,Internal Medicine,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00104,1000000104,Elizabeth,Smith,Solo Practice,Urgent Care,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00105,1000000105,Grace,Wilson,Community Medical Center,Urgent Care,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00106,1000000106,Emily,Young,Solo Practice,Pediatrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00107,1000000107,Avery,Miller,Regional Health System,Internal Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00108,1000000108,Sofia,Garcia,Community Medical Center,Internal Medicine,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00109,1000000109,Jackson,Moore,Solo Practice,Obstetrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00110,1000000110,Sofia,Williams,StatCare Network,Internal Medicine,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00111,1000000111,Ethan,Lee,Solo Practice,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00112,1000000112,James,Gonzalez,Solo Practice,Pediatrics,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00113,1000000113,James,Smith,Regional Health System,Obstetrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00114,1000000114,Abigail,Harris,StatCare Network,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00115,1000000115,Charlotte,Hernandez,Regional Health System,Orthopedics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00116,1000000116,Sophia,Walker,Solo Practice,Orthopedics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00117,1000000117,Ella,Nguyen,Regional Health System,Neurology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00118,1000000118,Daniel,Moore,Community Medical Center,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00119,1000000119,Sofia,Allen,ValuMed Group,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00120,1000000120,Jacob,Taylor,StatCare Network,Pediatrics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00121,1000000121,Charlotte,Clark,StatCare Network,Family Medicine,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00122,1000000122,Isabella,Hill,StatCare Network,Psychiatry,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00123,1000000123,Elijah,Jones,StatCare Network,Family Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00124,1000000124,Abigail,Walker,StatCare Network,Neurology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00125,1000000125,Alexander,Williams,Community Medical Center,Dermatology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00126,1000000126,Liam,Hernandez,ValuMed Group,Family Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00127,1000000127,Isabella,Clark,Community Medical Center,Internal Medicine,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00128,1000000128,Emma,Jones,Community Medical Center,Dermatology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00129,1000000129,Avery,Allen,StatCare Network,Urgent Care,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00130,1000000130,Sophia,Wright,ValuMed Group,Internal Medicine,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00131,1000000131,Sofia,Nguyen,Community Medical Center,Pediatrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00132,1000000132,Mia,Nguyen,Community Medical Center,Urgent Care,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00133,1000000133,Sophia,Clark,StatCare Network,Urgent Care,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00134,1000000134,Grace,Anderson,StatCare Network,Dermatology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00135,1000000135,Avery,Davis,StatCare Network,Neurology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00136,1000000136,Isabella,King,Regional Health System,Obstetrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00137,1000000137,Grace,Nguyen,Solo Practice,Neurology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00138,1000000138,Elijah,Garcia,ValuMed Group,Urgent Care,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00139,1000000139,Henry,Smith,Regional Health System,Dermatology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00140,1000000140,Liam,Williams,Community Medical Center,Dermatology,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00141,1000000141,Ava,Scott,ValuMed Group,Oncology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00142,1000000142,Mia,Garcia,ValuMed Group,Urgent Care,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00143,1000000143,Isabella,Allen,Regional Health System,Neurology,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00144,1000000144,Sebastian,King,Solo Practice,Cardiology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00145,1000000145,Logan,Lee,ValuMed Group,Oncology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00146,1000000146,Sophia,Flores,Regional Health System,Urgent Care,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00147,1000000147,Daniel,Wilson,Solo Practice,Neurology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00148,1000000148,Logan,Lewis,ValuMed Group,Internal Medicine,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00149,1000000149,Grace,Young,Solo Practice,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00150,1000000150,Olivia,Jones,Solo Practice,Urgent Care,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00151,1000000151,Noah,Martinez,StatCare Network,Cardiology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00152,1000000152,Mason,Hernandez,Community Medical Center,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00153,1000000153,Elizabeth,Jackson,Regional Health System,Orthopedics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00154,1000000154,Mason,Gonzalez,StatCare Network,Psychiatry,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00155,1000000155,Elijah,Anderson,ValuMed Group,Pediatrics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00156,1000000156,Noah,Scott,ValuMed Group,Obstetrics,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00157,1000000157,Charlotte,Moore,ValuMed Group,Internal Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00158,1000000158,James,Smith,Solo Practice,Obstetrics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00159,1000000159,Mia,Nguyen,Community Medical Center,Internal Medicine,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00160,1000000160,Michael,Johnson,Regional Health System,Cardiology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00161,1000000161,Olivia,Walker,Regional Health System,Cardiology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00162,1000000162,Sophia,Sanchez,StatCare Network,Orthopedics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00163,1000000163,Benjamin,Clark,Solo Practice,Internal Medicine,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00164,1000000164,Michael,Smith,Regional Health System,Neurology,Sports Medicine,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00165,1000000165,Emma,Taylor,Solo Practice,Orthopedics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00166,1000000166,Ava,Sanchez,ValuMed Group,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00167,1000000167,Avery,Thomas,Community Medical Center,Oncology,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00168,1000000168,Ava,Jackson,ValuMed Group,Internal Medicine,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00169,1000000169,Abigail,Jackson,ValuMed Group,Pediatrics,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00170,1000000170,Avery,Young,StatCare Network,Urgent Care,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00171,1000000171,Ava,Martinez,Regional Health System,Neurology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00172,1000000172,Elijah,Hernandez,ValuMed Group,Dermatology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00173,1000000173,Ethan,Clark,StatCare Network,Pediatrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00174,1000000174,Amelia,Robinson,Regional Health System,Obstetrics,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00175,1000000175,Sofia,Robinson,Regional Health System,Cardiology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00176,1000000176,Amelia,Thompson,Community Medical Center,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00177,1000000177,Sofia,Johnson,Community Medical Center,Oncology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00178,1000000178,Ava,Torres,Solo Practice,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00179,1000000179,William,Miller,Community Medical Center,Urgent Care,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00180,1000000180,Daniel,Smith,Solo Practice,Cardiology,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00181,1000000181,Grace,Taylor,StatCare Network,Pediatrics,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00182,1000000182,Michael,Brown,StatCare Network,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00183,1000000183,Avery,Anderson,Solo Practice,Orthopedics,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00184,1000000184,Noah,Brown,ValuMed Group,Pediatrics,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00185,1000000185,Ella,Gonzalez,ValuMed Group,Neurology,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00186,1000000186,Evelyn,Scott,StatCare Network,Internal Medicine,General,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00187,1000000187,Daniel,Perez,Community Medical Center,Psychiatry,Geriatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00188,1000000188,Evelyn,Allen,ValuMed Group,Obstetrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00189,1000000189,Harper,Lopez,ValuMed Group,Pediatrics,Interventional,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00190,1000000190,Noah,Torres,StatCare Network,Oncology,Pediatric,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
PR00191,1000000191,Sophia,King,Community Medical Center,Internal Medicine,,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
