practitioner_id|npi|entity_type|name_prefix|first_name|middle_name|last_name|name_suffix|credential|specialty|sex|address|city|state|zip_code|latitude|longitude|phone|data_source|META_data_source|META_Load_DTTM
PR00068|1000000068|individual||Alexander||Lee||PA-C|Orthopedics|male|5192 Medical Plaza Dr|FL City|FL|39617|38.439086|-99.627379|(653) 250-1921|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00069|1000000069|individual||Emily|Logan|Martin||NP|Internal Medicine|female|3967 Medical Plaza Dr|WA City|WA|67287|39.666205|-111.427253|(592) 760-3988|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00070|1000000070|individual||Alexander||King||APRN|Obstetrics|male|8114 Medical Plaza Dr|VA City|VA|32152|32.262874|-103.179938|(882) 572-4159|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00071|1000000071|individual||Jacob|Emily|Anderson||CNM|Urgent Care|male|3454 Medical Plaza Dr|WA City|WA|38987|41.673485|-76.532299|(956) 821-9724|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00072|1000000072|individual||Grace|Amelia|Lewis||CNM|Neurology|female|7269 Medical Plaza Dr|FL City|FL|89530|28.199185|-95.632517|(326) 723-9062|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00073|1000000073|individual||Ella||Williams||PA-C|Cardiology|female|4205 Medical Plaza Dr|NY City|NY|70423|43.080689|-76.476807|(535) 530-9874|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00074|1000000074|individual||Benjamin|Alexander|Scott||CNM|Neurology|male|1573 Medical Plaza Dr|CA City|CA|16397|37.711378|-98.615073|(722) 587-3820|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00075|1000000075|individual||Ethan|Scarlett|Thomas||RN|Internal Medicine|male|755 Medical Plaza Dr|IL City|IL|89378|31.065567|-81.477941|(920) 613-6711|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00076|1000000076|individual||Olivia|Logan|Hernandez||RN|Orthopedics|female|2070 Medical Plaza Dr|IL City|IL|41244|33.335266|-80.783635|(928) 335-1945|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00077|1000000077|individual||Lucas|Mason|White||NP|Oncology|male|290 Medical Plaza Dr|WA City|WA|20991|27.762639|-82.179372|(298) 911-8782|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00078|1000000078|individual||Emily||Taylor||PA-C|Cardiology|female|2747 Medical Plaza Dr|NY City|NY|81748|36.011429|-68.31486|(986) 530-7338|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00079|1000000079|individual||Jacob|Harper|Hill||APRN|Oncology|male|4011 Medical Plaza Dr|TX City|TX|26083|33.493446|-106.221605|(924) 267-3794|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00080|1000000080|individual||Daniel||Sanchez||PA-C|Internal Medicine|male|6232 Medical Plaza Dr|NJ City|NJ|38199|28.75153|-119.383366|(772) 881-7648|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00081|1000000081|individual||Jacob||Lewis||PA-C|Neurology|male|8725 Medical Plaza Dr|PA City|PA|53164|26.563281|-89.707684|(218) 414-9149|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00082|1000000082|individual||Oliver|Jackson|Hill||NP-C|Orthopedics|male|4381 Medical Plaza Dr|GA City|GA|41726|46.266662|-94.97387|(598) 738-3857|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00083|1000000083|individual||Grace||Williams||APRN|Obstetrics|female|3302 Medical Plaza Dr|GA City|GA|13753|25.904136|-96.899347|(483) 733-4390|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00084|1000000084|individual||Sebastian|Elijah|Young||CNM|Psychiatry|male|8160 Medical Plaza Dr|NJ City|NJ|66953|26.310334|-78.851708|(989) 879-2783|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00085|1000000085|individual||Alexander||Harris||PA-C|Psychiatry|male|2940 Medical Plaza Dr|NC City|NC|55148|42.097351|-85.89787|(250) 491-9794|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00086|1000000086|individual||Elijah||Jackson||PA-C|Urgent Care|male|2935 Medical Plaza Dr|VA City|VA|22719|33.402694|-107.50486|(516) 695-8557|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00087|1000000087|individual||Amelia|William|Thompson||CNM|Obstetrics|female|8539 Medical Plaza Dr|OH City|OH|42565|45.093526|-98.541375|(322) 519-2474|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00088|1000000088|individual|Dr.|Scarlett|Benjamin|Wilson||DO|Oncology|female|1073 Medical Plaza Dr|VA City|VA|26339|33.570618|-81.313112|(314) 405-7924|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00089|1000000089|individual|Dr.|Mason||Lewis||MD|Orthopedics|male|3459 Medical Plaza Dr|NJ City|NJ|77752|41.514157|-103.247705|(875) 388-4123|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00090|1000000090|individual||Harper|Evelyn|Wilson||PA-C|Pediatrics|female|8015 Medical Plaza Dr|AZ City|AZ|11514|26.705703|-76.545994|(869) 960-9521|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00091|1000000091|individual||Evelyn||Rodriguez||FNP-C|Oncology|female|1269 Medical Plaza Dr|AZ City|AZ|22706|31.519464|-84.864353|(920) 594-8262|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00092|1000000092|individual||Ethan||Walker||NP|Obstetrics|male|3506 Medical Plaza Dr|PA City|PA|76011|44.340082|-71.752544|(255) 535-1681|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00093|1000000093|individual||Ava|Michael|Scott||RN|Cardiology|female|6041 Medical Plaza Dr|NC City|NC|61000|37.83244|-102.450838|(393) 968-4133|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00094|1000000094|individual||Daniel||Lopez||RN|Neurology|male|415 Medical Plaza Dr|VA City|VA|68411|31.661124|-112.397565|(788) 924-6982|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00095|1000000095|individual||Mia|Daniel|Garcia||NP-C|Orthopedics|female|9430 Medical Plaza Dr|FL City|FL|96477|29.403944|-93.145503|(750) 995-4989|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00096|1000000096|individual|Dr.|Benjamin||Rodriguez||MD|Obstetrics|male|601 Medical Plaza Dr|CA City|CA|12049|47.40538|-67.168042|(747) 315-3574|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00097|1000000097|individual||Jacob|Avery|Robinson||NP|Psychiatry|male|1602 Medical Plaza Dr|OH City|OH|89598|39.41877|-85.611364|(596) 312-3275|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00098|1000000098|individual||Olivia||Wilson||FNP-C|Obstetrics|female|2434 Medical Plaza Dr|FL City|FL|10849|31.057342|-83.707065|(383) 828-1949|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00099|1000000099|individual||Mia||Clark||NP-C|Internal Medicine|female|2343 Medical Plaza Dr|IL City|IL|53638|36.049961|-122.666675|(451) 440-2732|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00100|1000000100|individual||Grace||Wright||FNP-C|Neurology|female|9589 Medical Plaza Dr|VA City|VA|27407|33.840076|-75.582188|(580) 459-9099|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00101|1000000101|individual||Harper||Martinez||RN|Orthopedics|female|6231 Medical Plaza Dr|IL City|IL|14327|45.39988|-83.215162|(219) 397-7982|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00102|1000000102|individual||Avery|James|Johnson||NP-C|Dermatology|female|8895 Medical Plaza Dr|MA City|MA|63186|28.374189|-70.983417|(478) 840-1265|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00103|1000000103|individual||Liam|Sophia|Martinez||RN|Obstetrics|male|9572 Medical Plaza Dr|WA City|WA|91492|38.365882|-69.203539|(936) 308-3119|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00104|1000000104|individual||Sofia||Rodriguez||PA-C|Urgent Care|female|8483 Medical Plaza Dr|NC City|NC|88056|37.450304|-97.359222|(852) 800-1425|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00105|1000000105|individual|Dr.|Mia||Thompson||MD|Internal Medicine|female|6287 Medical Plaza Dr|VA City|VA|17844|35.961619|-88.557649|(873) 249-5664|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00106|1000000106|individual|Dr.|Olivia|Jacob|Walker||DO|Internal Medicine|female|4201 Medical Plaza Dr|GA City|GA|11710|34.292865|-86.312081|(354) 617-3607|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00107|1000000107|individual||Abigail|Mason|Williams||CNM|Internal Medicine|female|5595 Medical Plaza Dr|TX City|TX|86800|33.800835|-96.637068|(559) 205-3695|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00108|1000000108|individual||Sebastian||Sanchez||PA-C|Orthopedics|male|3524 Medical Plaza Dr|OH City|OH|84412|42.051424|-93.844484|(814) 593-6424|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00109|1000000109|individual||Scarlett|Mason|Lewis||NP|Dermatology|female|9276 Medical Plaza Dr|CA City|CA|74914|34.813342|-88.602745|(487) 803-5163|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00110|1000000110|individual||Sebastian|Emma|Flores||PA-C|Family Medicine|male|9376 Medical Plaza Dr|NY City|NY|66383|25.783173|-123.393675|(988) 702-4390|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00111|1000000111|individual||Logan|Harper|Hill||FNP-C|Family Medicine|male|4194 Medical Plaza Dr|IL City|IL|38452|26.044287|-86.893763|(734) 719-7236|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00112|1000000112|individual||Henry||Jones||RN|Internal Medicine|male|6628 Medical Plaza Dr|AZ City|AZ|89814|39.172429|-117.890198|(854) 546-6568|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00113|1000000113|individual||Charlotte|Scarlett|Jackson||CNM|Dermatology|female|5308 Medical Plaza Dr|PA City|PA|78510|33.985163|-109.393469|(745) 472-2552|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00114|1000000114|individual||Noah||Flores||APRN|Urgent Care|male|8438 Medical Plaza Dr|GA City|GA|24895|28.191886|-116.342397|(976) 529-5604|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00115|1000000115|individual||Logan|Henry|Miller||NP-C|Dermatology|male|3448 Medical Plaza Dr|TX City|TX|39044|42.790353|-71.235904|(893) 613-2708|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00116|1000000116|individual|Dr.|Scarlett||Wilson||DO|Pediatrics|female|5400 Medical Plaza Dr|OH City|OH|14326|43.54476|-73.221148|(954) 526-9262|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
PR00117|1000000117|individual||Ella|Ella|Sanchez||APRN|Pediatrics|female|8725 Medical Plaza Dr|NC City|NC|30457|39.383385|-123.654866|(894) 490-4112|SynaptiqPOC|META_SynaptiqPOC|2026-06-18 02:00:00
